PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,male,22,1,0,A/5 21171,7.25,Nenhum,S
2,1,1,female,38,1,0,PC 17599,71.2833,C85,C
3,1,3,female,26,0,0,STON/O2. 3101282,7925,Nenhum,S
4,1,1,female,35,1,0,113803,53.1,C123,S
5,0,3,male,35,0,0,373450,8.05,Nenhum,S
7,0,1,male,54,0,0,17463,51.8625,E46,S
8,0,3,male,2,3,1,349909,21075,Nenhum,S
9,1,3,female,27,0,2,347742,11.1333,Nenhum,S
10,1,2,female,14,1,0,237736,30.0708,Nenhum,C
11,1,3,female,4,1,1,PP 9549,16.7,G6,S
12,1,1,female,58,0,0,113783,26.55,C103,S
13,0,3,male,20,0,0,A/5. 2151,8.05,Nenhum,S
14,0,3,male,39,1,5,347082,31275,Nenhum,S
15,0,3,female,14,0,0,350406,7.8542,Nenhum,S
16,1,2,female,55,0,0,248706,16,Nenhum,S
17,0,3,male,2,4,1,382652,29125,Nenhum,Q
19,0,3,female,31,1,0,345763,18,Nenhum,S
21,0,2,male,35,0,0,239865,26,Nenhum,S
22,1,2,male,34,0,0,248698,13,D56,S
23,1,3,female,15,0,0,330923,8.0292,Nenhum,Q
24,1,1,male,28,0,0,113788,35.5,A6,S
25,0,3,female,8,3,1,349909,21075,Nenhum,S
26,1,3,female,38,1,5,347077,31.3875,Nenhum,S
28,0,1,male,19,3,2,19950,263,C23 C25 C27,S
31,0,1,male,40,0,0,PC 17601,27.7208,Nenhum,C
34,0,2,male,66,0,0,C.A. 24579,10.5,Nenhum,S
35,0,1,male,28,1,0,PC 17604,82.1708,Nenhum,C
36,0,1,male,42,1,0,113789,52,Nenhum,S
38,0,3,male,21,0,0,A./5. 2152,8.05,Nenhum,S
39,0,3,female,18,2,0,345764,18,Nenhum,S
40,1,3,female,14,1,0,2651,11.2417,Nenhum,C
41,0,3,female,40,1,0,7546,9475,Nenhum,S
42,0,2,female,27,1,0,11668,21,Nenhum,S
44,1,2,female,3,1,2,SC/Paris 2123,41.5792,Nenhum,C
45,1,3,female,19,0,0,330958,7.8792,Nenhum,Q
50,0,3,female,18,1,0,349237,17.8,Nenhum,S
51,0,3,male,7,4,1,3101295,39.6875,Nenhum,S
52,0,3,male,21,0,0,A/4. 39886,7.8,Nenhum,S
53,1,1,female,49,1,0,PC 17572,76.7292,D33,C
54,1,2,female,29,1,0,2926,26,Nenhum,S
55,0,1,male,65,0,1,113509,61.9792,B30,C
57,1,2,female,21,0,0,C.A. 31026,10.5,Nenhum,S
58,0,3,male,28.5,0,0,2697,7.2292,Nenhum,C
59,1,2,female,5,1,2,C.A. 34651,27.75,Nenhum,S
60,0,3,male,11,5,2,CA 2144,46.9,Nenhum,S
61,0,3,male,22,0,0,2669,7.2292,Nenhum,C
62,1,1,female,38,0,0,113572,80,B28,
63,0,1,male,45,1,0,36973,83475,C83,S
64,0,3,male,4,3,2,347088,27.9,Nenhum,S
67,1,2,female,29,0,0,C.A. 29395,10.5,F33,S
68,0,3,male,19,0,0,S.P. 3464,8.1583,Nenhum,S
69,1,3,female,17,4,2,3101281,7925,Nenhum,S
70,0,3,male,26,2,0,315151,8.6625,Nenhum,S
71,0,2,male,32,0,0,C.A. 33111,10.5,Nenhum,S
72,0,3,female,16,5,2,CA 2144,46.9,Nenhum,S
73,0,2,male,21,0,0,S.O.C. 14879,73.5,Nenhum,S
74,0,3,male,26,1,0,2680,14.4542,Nenhum,C
75,1,3,male,32,0,0,1601,56.4958,Nenhum,S
76,0,3,male,25,0,0,348123,7.65,F G73,S
79,1,2,male,0.83,0,2,248738,29,Nenhum,S
80,1,3,female,30,0,0,364516,12475,Nenhum,S
81,0,3,male,22,0,0,345767,9,Nenhum,S
82,1,3,male,29,0,0,345779,9.5,Nenhum,S
84,0,1,male,28,0,0,113059,47.1,Nenhum,S
85,1,2,female,17,0,0,SO/C 14885,10.5,Nenhum,S
86,1,3,female,33,3,0,3101278,15.85,Nenhum,S
87,0,3,male,16,1,3,W./C. 6608,34375,Nenhum,S
89,1,1,female,23,3,2,19950,263,C23 C25 C27,S
90,0,3,male,24,0,0,343275,8.05,Nenhum,S
91,0,3,male,29,0,0,343276,8.05,Nenhum,S
92,0,3,male,20,0,0,347466,7.8542,Nenhum,S
93,0,1,male,46,1,0,W.E.P. 5734,61175,E31,S
94,0,3,male,26,1,2,C.A. 2315,20575,Nenhum,S
95,0,3,male,59,0,0,364500,7.25,Nenhum,S
97,0,1,male,71,0,0,PC 17754,34.6542,A5,C
98,1,1,male,23,0,1,PC 17759,63.3583,D10 D12,C
99,1,2,female,34,0,1,231919,23,Nenhum,S
100,0,2,male,34,1,0,244367,26,Nenhum,S
101,0,3,female,28,0,0,349245,7.8958,Nenhum,S
103,0,1,male,21,0,1,35281,77.2875,D26,S
104,0,3,male,33,0,0,7540,8.6542,Nenhum,S
105,0,3,male,37,2,0,3101276,7925,Nenhum,S
106,0,3,male,28,0,0,349207,7.8958,Nenhum,S
107,1,3,female,21,0,0,343120,7.65,Nenhum,S
109,0,3,male,38,0,0,349249,7.8958,Nenhum,S
111,0,1,male,47,0,0,110465,52,C110,S
112,0,3,female,14.5,1,0,2665,14.4542,Nenhum,C
113,0,3,male,22,0,0,324669,8.05,Nenhum,S
114,0,3,female,20,1,0,4136,9825,Nenhum,S
115,0,3,female,17,0,0,2627,14.4583,Nenhum,C
116,0,3,male,21,0,0,STON/O 2. 3101294,7925,Nenhum,S
117,0,3,male,70.5,0,0,370369,7.75,Nenhum,Q
118,0,2,male,29,1,0,11668,21,Nenhum,S
119,0,1,male,24,0,1,PC 17558,247.5208,B58 B60,C
120,0,3,female,2,4,2,347082,31275,Nenhum,S
121,0,2,male,21,2,0,S.O.C. 14879,73.5,Nenhum,S
123,0,2,male,32.5,1,0,237736,30.0708,Nenhum,C
124,1,2,female,32.5,0,0,27267,13,E101,S
125,0,1,male,54,0,1,35281,77.2875,D26,S
126,1,3,male,12,1,0,2651,11.2417,Nenhum,C
128,1,3,male,24,0,0,C 17369,7.1417,Nenhum,S
130,0,3,male,45,0,0,347061,6975,Nenhum,S
131,0,3,male,33,0,0,349241,7.8958,Nenhum,C
132,0,3,male,20,0,0,SOTON/O.Q. 3101307,7.05,Nenhum,S
133,0,3,female,47,1,0,A/5. 3337,14.5,Nenhum,S
134,1,2,female,29,1,0,228414,26,Nenhum,S
135,0,2,male,25,0,0,C.A. 29178,13,Nenhum,S
136,0,2,male,23,0,0,SC/PARIS 2133,15.0458,Nenhum,C
137,1,1,female,19,0,2,11752,26.2833,D47,S
138,0,1,male,37,1,0,113803,53.1,C123,S
139,0,3,male,16,0,0,7534,9.2167,Nenhum,S
140,0,1,male,24,0,0,PC 17593,79.2,B86,C
142,1,3,female,22,0,0,347081,7.75,Nenhum,S
143,1,3,female,24,1,0,STON/O2. 3101279,15.85,Nenhum,S
144,0,3,male,19,0,0,365222,6.75,Nenhum,Q
145,0,2,male,18,0,0,231945,11.5,Nenhum,S
146,0,2,male,19,1,1,C.A. 33112,36.75,Nenhum,S
147,1,3,male,27,0,0,350043,7.7958,Nenhum,S
148,0,3,female,9,2,2,W./C. 6608,34375,Nenhum,S
149,0,2,male,36.5,0,2,230080,26,F2,S
150,0,2,male,42,0,0,244310,13,Nenhum,S
151,0,2,male,51,0,0,S.O.P. 1166,12525,Nenhum,S
152,1,1,female,22,1,0,113776,66.6,C2,S
153,0,3,male,55.5,0,0,A.5. 11206,8.05,Nenhum,S
154,0,3,male,40.5,0,2,A/5. 851,14.5,Nenhum,S
156,0,1,male,51,0,1,PC 17597,61.3792,Nenhum,C
157,1,3,female,16,0,0,35851,7.7333,Nenhum,Q
158,0,3,male,30,0,0,SOTON/OQ 392090,8.05,Nenhum,S
161,0,3,male,44,0,1,371362,16.1,Nenhum,S
162,1,2,female,40,0,0,C.A. 33595,15.75,Nenhum,S
163,0,3,male,26,0,0,347068,7775,Nenhum,S
164,0,3,male,17,0,0,315093,8.6625,Nenhum,S
165,0,3,male,1,4,1,3101295,39.6875,Nenhum,S
166,1,3,male,9,0,2,363291,20525,Nenhum,S
168,0,3,female,45,1,4,347088,27.9,Nenhum,S
170,0,3,male,28,0,0,1601,56.4958,Nenhum,S
171,0,1,male,61,0,0,111240,33.5,B19,S
172,0,3,male,4,4,1,382652,29125,Nenhum,Q
173,1,3,female,1,1,1,347742,11.1333,Nenhum,S
174,0,3,male,21,0,0,STON/O 2. 3101280,7925,Nenhum,S
175,0,1,male,56,0,0,17764,30.6958,A7,C
176,0,3,male,18,1,1,350404,7.8542,Nenhum,S
178,0,1,female,50,0,0,PC 17595,28.7125,C49,C
179,0,2,male,30,0,0,250653,13,Nenhum,S
180,0,3,male,36,0,0,LINE,0,Nenhum,S
183,0,3,male,9,4,2,347077,31.3875,Nenhum,S
184,1,2,male,1,2,1,230136,39,F4,S
185,1,3,female,4,0,2,315153,22025,Nenhum,S
188,1,1,male,45,0,0,111428,26.55,Nenhum,S
189,0,3,male,40,1,1,364849,15.5,Nenhum,Q
190,0,3,male,36,0,0,349247,7.8958,Nenhum,S
191,1,2,female,32,0,0,234604,13,Nenhum,S
192,0,2,male,19,0,0,28424,13,Nenhum,S
193,1,3,female,19,1,0,350046,7.8542,Nenhum,S
