@relation tittanic_tratado

@attribute PassengerId integer
@attribute Survived {N, S}
@attribute Pclass integer
@attribute Sex {male, female}
@attribute Age integer
@attribute SibSp integer
@attribute Parch integer
@attribute Fare integer
@attribute Cabin {S, N}
@attribute Embarked {C, Q, S}

@data
1,N,3,male,22,1,0,7,N,S
2,S,1,female,38,1,0,71,S,C
3,S,3,female,26,0,0,7925,N,S
4,S,1,female,35,1,0,53,S,S
5,N,3,male,35,0,0,8,N,S
7,N,1,male,54,0,0,52,S,S
8,N,3,male,2,3,1,21075,N,S
9,S,3,female,27,0,2,11,N,S
10,S,2,female,14,1,0,30,N,C
11,S,3,female,4,1,1,17,S,S
12,S,1,female,58,0,0,27,S,S
13,N,3,male,20,0,0,8,N,S
14,N,3,male,39,1,5,31275,N,S
15,N,3,female,14,0,0,8,N,S
16,S,2,female,55,0,0,16,N,S
17,N,3,male,2,4,1,29125,N,Q
19,N,3,female,31,1,0,18,N,S
21,N,2,male,35,0,0,26,N,S
22,S,2,male,34,0,0,13,S,S
23,S,3,female,15,0,0,8,N,Q
24,S,1,male,28,0,0,36,S,S
25,N,3,female,8,3,1,21075,N,S
26,S,3,female,38,1,5,31,N,S
28,N,1,male,19,3,2,263,S,S
31,N,1,male,40,0,0,28,N,C
34,N,2,male,66,0,0,11,N,S
35,N,1,male,28,1,0,82,N,C
36,N,1,male,42,1,0,52,N,S
38,N,3,male,21,0,0,8,N,S
39,N,3,female,18,2,0,18,N,S
40,S,3,female,14,1,0,11,N,C
41,N,3,female,40,1,0,9475,N,S
42,N,2,female,27,1,0,21,N,S
44,S,2,female,3,1,2,42,N,C
45,S,3,female,19,0,0,8,N,Q
50,N,3,female,18,1,0,18,N,S
51,N,3,male,7,4,1,40,N,S
52,N,3,male,21,0,0,8,N,S
53,S,1,female,49,1,0,77,S,C
54,S,2,female,29,1,0,26,N,S
55,N,1,male,65,0,1,62,S,C
57,S,2,female,21,0,0,11,N,S
58,N,3,male,28.5,0,0,7,N,C
59,S,2,female,5,1,2,28,N,S
60,N,3,male,11,5,2,47,N,S
61,N,3,male,22,0,0,7,N,C
63,N,1,male,45,1,0,83475,S,S
64,N,3,male,4,3,2,28,N,S
67,S,2,female,29,0,0,11,S,S
68,N,3,male,19,0,0,8,N,S
69,S,3,female,17,4,2,7925,N,S
70,N,3,male,26,2,0,9,N,S
71,N,2,male,32,0,0,11,N,S
72,N,3,female,16,5,2,47,N,S
73,N,2,male,21,0,0,74,N,S
74,N,3,male,26,1,0,14,N,C
75,S,3,male,32,0,0,56,N,S
76,N,3,male,25,0,0,8,S,S
79,S,2,male,0.83,0,2,29,N,S
80,S,3,female,30,0,0,12475,N,S
81,N,3,male,22,0,0,9,N,S
82,S,3,male,29,0,0,10,N,S
84,N,1,male,28,0,0,47,N,S
85,S,2,female,17,0,0,11,N,S
86,S,3,female,33,3,0,16,N,S
87,N,3,male,16,1,3,34375,N,S
89,S,1,female,23,3,2,263,S,S
90,N,3,male,24,0,0,8,N,S
91,N,3,male,29,0,0,8,N,S
92,N,3,male,20,0,0,8,N,S
93,N,1,male,46,1,0,61175,S,S
94,N,3,male,26,1,2,20575,N,S
95,N,3,male,59,0,0,7,N,S
97,N,1,male,71,0,0,35,S,C
98,S,1,male,23,0,1,63,S,C
99,S,2,female,34,0,1,23,N,S
100,N,2,male,34,1,0,26,N,S
101,N,3,female,28,0,0,8,N,S
103,N,1,male,21,0,1,77,S,S
104,N,3,male,33,0,0,9,N,S
105,N,3,male,37,2,0,7925,N,S
106,N,3,male,28,0,0,8,N,S
107,S,3,female,21,0,0,8,N,S
109,N,3,male,38,0,0,8,N,S
111,N,1,male,47,0,0,52,S,S
112,N,3,female,14.5,1,0,14,N,C
113,N,3,male,22,0,0,8,N,S
114,N,3,female,20,1,0,9825,N,S
115,N,3,female,17,0,0,14,N,C
116,N,3,male,21,0,0,7925,N,S
117,N,3,male,70.5,0,0,8,N,Q
118,N,2,male,29,1,0,21,N,S
119,N,1,male,24,0,1,248,S,C
120,N,3,female,2,4,2,31275,N,S
121,N,2,male,21,2,0,74,N,S
123,N,2,male,32.5,1,0,30,N,C
124,S,2,female,32.5,0,0,13,S,S
125,N,1,male,54,0,1,77,S,S
126,S,3,male,12,1,0,11,N,C
128,S,3,male,24,0,0,7,N,S
130,N,3,male,45,0,0,6975,N,S
131,N,3,male,33,0,0,8,N,C
132,N,3,male,20,0,0,7,N,S
133,N,3,female,47,1,0,15,N,S
134,S,2,female,29,1,0,26,N,S
135,N,2,male,25,0,0,13,N,S
136,N,2,male,23,0,0,15,N,C
137,S,1,female,19,0,2,26,S,S
138,N,1,male,37,1,0,53,S,S
139,N,3,male,16,0,0,9,N,S
140,N,1,male,24,0,0,79,S,C
142,S,3,female,22,0,0,8,N,S
143,S,3,female,24,1,0,16,N,S
144,N,3,male,19,0,0,7,N,Q
145,N,2,male,18,0,0,12,N,S
146,N,2,male,19,1,1,37,N,S
147,S,3,male,27,0,0,8,N,S
148,N,3,female,9,2,2,34375,N,S
149,N,2,male,36.5,0,2,26,S,S
150,N,2,male,42,0,0,13,N,S
151,N,2,male,51,0,0,12525,N,S
152,S,1,female,22,1,0,67,S,S
153,N,3,male,55.5,0,0,8,N,S
154,N,3,male,40.5,0,2,15,N,S
156,N,1,male,51,0,1,61,N,C
157,S,3,female,16,0,0,8,N,Q
158,N,3,male,30,0,0,8,N,S
161,N,3,male,44,0,1,16,N,S
162,S,2,female,40,0,0,16,N,S
163,N,3,male,26,0,0,7775,N,S
