@relation titanic_tratado

@attribute Survived {N, S}
@attribute Pclass integer
@attribute Sex {male, female}
@attribute Age integer
@attribute SibSp integer
@attribute Parch integer
@attribute Fare integer
@attribute Cabin {S, N}
@attribute Embarked {C, Q, S}

@data
N,3,male,22,1,0,7,N,S
S,1,female,38,1,0,71,S,C
S,3,female,26,0,0,7,N,S
S,1,female,35,1,0,53,S,S
N,3,male,35,0,0,8,N,S
N,3,male,24,0,0,8,N,Q
N,1,male,54,0,0,51,S,S
N,3,male,2,3,1,21,N,S
S,3,female,27,0,2,11,N,S
S,2,female,14,1,0,30,N,C
S,3,female,4,1,1,16,S,S
S,1,female,58,0,0,26,S,S
N,3,male,20,0,0,8,N,S
N,3,male,39,1,5,31,N,S
N,3,female,14,0,0,7,N,S
S,2,female,55,0,0,16,N,S
N,3,male,2,4,1,29,N,Q
S,2,male,24,0,0,13,N,S
N,3,female,31,1,0,18,N,S
S,3,female,23,0,0,7,N,C
N,2,male,35,0,0,26,N,S
S,2,male,34,0,0,13,S,S
S,3,female,15,0,0,8,N,Q
S,1,male,28,0,0,35,S,S
N,3,female,8,3,1,21,N,S
S,3,female,38,1,5,31,N,S
N,3,male,24,0,0,7,N,C
N,1,male,19,3,2,263,S,S
S,3,female,23,0,0,7,N,Q
N,3,male,24,0,0,7,N,S
N,1,male,40,0,0,27,N,C
S,1,female,23,1,0,146,S,C
S,3,female,23,0,0,7,N,Q
N,2,male,66,0,0,10,N,S
N,1,male,28,1,0,82,N,C
N,1,male,42,1,0,52,N,S
S,3,male,24,0,0,7,N,C
N,3,male,21,0,0,8,N,S
N,3,female,18,2,0,18,N,S
S,3,female,14,1,0,11,N,C
N,3,female,40,1,0,9,N,S
N,2,female,27,1,0,21,N,S
N,3,male,24,0,0,7,N,C
S,2,female,3,1,2,41,N,C
S,3,female,19,0,0,7,N,Q
N,3,male,24,0,0,8,N,S
N,3,male,24,1,0,15,N,Q
S,3,female,23,0,0,7,N,Q
N,3,male,24,2,0,21,N,C
N,3,female,18,1,0,17,N,S
N,3,male,7,4,1,39,N,S
N,3,male,21,0,0,7,N,S
S,1,female,49,1,0,76,S,C
S,2,female,29,1,0,26,N,S
N,1,male,65,0,1,61,S,C
S,1,male,24,0,0,35,S,S
S,2,female,21,0,0,10,N,S
N,3,male,28,0,0,7,N,C
S,2,female,5,1,2,27,N,S
N,3,male,11,5,2,46,N,S
N,3,male,22,0,0,7,N,C
S,1,female,38,0,0,80,S,S
N,1,male,45,1,0,83,S,S
N,3,male,4,3,2,27,N,S
N,1,male,24,0,0,27,N,C
S,3,male,24,1,1,15,N,C
S,2,female,29,0,0,10,S,S
N,3,male,19,0,0,8,N,S
S,3,female,17,4,2,7,N,S
N,3,male,26,2,0,8,N,S
N,2,male,32,0,0,10,N,S
N,3,female,16,5,2,46,N,S
N,2,male,21,0,0,73,N,S
N,3,male,26,1,0,14,N,C
S,3,male,32,0,0,56,N,S
N,3,male,25,0,0,7,S,S
N,3,male,24,0,0,7,N,S
N,3,male,24,0,0,8,N,S
S,2,male,0,0,2,29,N,S
S,3,female,30,0,0,12,N,S
N,3,male,22,0,0,9,N,S
S,3,male,29,0,0,9,N,S
S,3,female,23,0,0,7,N,Q
N,1,male,28,0,0,47,N,S
S,2,female,17,0,0,10,N,S
S,3,female,33,3,0,15,N,S
N,3,male,16,1,3,34,N,S
N,3,male,24,0,0,8,N,S
S,1,female,23,3,2,263,S,S
N,3,male,24,0,0,8,N,S
N,3,male,29,0,0,8,N,S
